entry_idx,exit_idx,timestamp_entry,timestamp_exit,direction,regime_label,prob_long,prob_short,setup_score_long_regime,setup_score_short_regime,ev_long_regime,ev_short_regime,size,gross_ret,net_ret,outcome
4320,4332,2025-07-24 07:00:00,2025-07-24 19:00:00,long,range,0.9191715717315674,0.07269275933504105,1.8076313804067912,0.09461599140550142,0.006718171662201021,-0.007822384475664048,0.6,0.004452178,0.0013513067999999999,expiry
4472,4475,2025-07-30 15:00:00,2025-07-30 18:00:00,short,range,0.05342545360326767,0.926703155040741,0.0648219597257663,1.7406413991245584,-0.007765964845407422,0.0062588184555778725,0.6,0.009729716,0.0045178295999999995,tp
4524,4536,2025-08-01 19:00:00,2025-08-02 07:00:00,short,trend_down,0.7162448167800903,0.7203994989395142,0.6857215339841498,1.7691678655692165,0.003979047229072026,0.006484798849177423,0.6,-0.0057360562,-0.00476163372,expiry
4935,4940,2025-08-18 22:00:00,2025-08-19 03:00:00,short,trend_down,0.07342880219221115,0.8786344528198242,0.07145777888276383,2.0692297030080042,-0.005023456707082719,0.005270814785522587,0.6,0.008332804,0.0036796823999999994,tp
4975,4986,2025-08-20 14:00:00,2025-08-21 01:00:00,long,trend_down,0.9179132580757141,0.06794451177120209,1.2856651438875026,0.09804546060360869,0.005266951794097383,-0.009735587852139323,0.6,0.01068434,0.005090604,tp
6145,6154,2025-10-08 08:00:00,2025-10-08 17:00:00,long,trend_down,0.8921622037887573,0.33465465903282166,1.3373863089171651,0.49343595406567065,0.0055426359062167715,-0.004167968486254035,0.6,0.011691488,0.005694892799999999,tp
6200,6203,2025-10-10 15:00:00,2025-10-10 18:00:00,short,trend_down,0.8157927989959717,0.9061576724052429,0.8042415456949323,2.446032035689832,0.005402933673037557,0.01109721378450819,0.6,0.013756773,0.006934063799999999,tp
6318,6330,2025-10-15 13:00:00,2025-10-16 01:00:00,short,trend_down,0.5625196099281311,0.8463046550750732,0.5996770721259139,2.7129893370438025,0.0010546495055947513,0.009243835581809403,0.6,0.00079973054,-0.000840161676,expiry
6344,6356,2025-10-16 15:00:00,2025-10-17 03:00:00,short,trend_down,0.616078794002533,0.6790531277656555,0.6165191648521822,1.714706778090682,0.0034441918870977066,0.007886161835845694,0.6,-0.005747836,-0.0047687015999999995,expiry
6410,6416,2025-10-19 09:00:00,2025-10-19 15:00:00,long,trend_down,0.9234036803245544,0.013277997262775898,1.5400723216570527,0.02109228633182615,0.005419731361434514,-0.010997666214955312,0.6,0.01080578,0.005163467999999999,tp
6480,6484,2025-10-22 07:00:00,2025-10-22 11:00:00,long,trend_down,0.820374071598053,0.25414466857910156,1.3189276383675972,0.4509400549376015,0.005404468153083859,-0.006556252417767556,0.6,-0.0089500835,-0.0066900501,sl
6703,6705,2025-10-31 14:00:00,2025-10-31 16:00:00,long,trend_down,0.8236931562423706,0.7610429525375366,1.2331888470293846,1.288775658937311,0.006120267527859894,0.007954083468678463,0.6,-0.009781,-0.0071886,sl
7322,7327,2025-11-26 09:00:00,2025-11-26 14:00:00,short,range,0.8128466010093689,0.8460649847984314,0.9875517791726471,1.6793798308630694,0.00629742026670901,0.006981138061517963,0.6,-0.008165776,-0.0062194656,sl
7470,7471,2025-12-02 13:00:00,2025-12-02 14:00:00,long,trend_down,0.8790184855461121,0.16339382529258728,1.3349700073094515,0.2823328478178608,0.0060705952518270954,-0.008741611778509281,0.6,0.012894025,0.006416415,tp
7691,7694,2025-12-11 18:00:00,2025-12-11 21:00:00,long,trend_down,0.8613631129264832,0.13804331421852112,1.2481629601828108,0.2231454812160456,0.006953550144789055,-0.010455996176914114,0.6,0.014918488,0.007631092799999999,tp
7785,7797,2025-12-15 16:00:00,2025-12-16 04:00:00,short,trend_down,0.6462305188179016,0.7260328531265259,0.7041768822838471,2.1806174059390466,0.0034602715302567534,0.00818638474106889,0.6,0.006541353,0.0026048117999999997,expiry
8173,8185,2025-12-31 20:00:00,2026-01-01 08:00:00,long,range,0.9369763731956482,0.05611071363091469,1.8271601798723478,0.07210563566818635,0.005591180869785997,-0.007189611613765765,0.6,0.0012421572,-0.00057470568,expiry
8287,8290,2026-01-05 14:00:00,2026-01-05 17:00:00,long,trend_up,0.8628098964691162,0.0707966759800911,2.0863139125468395,0.06610842189424043,0.006793862310250949,-0.005844025983747121,0.6,0.010191941,0.0047951645999999995,tp
8455,8457,2026-01-12 14:00:00,2026-01-12 16:00:00,long,range,0.9405848383903503,0.029639622196555138,1.8653063787317774,0.03906901285546195,0.007207366349489778,-0.008645086108604441,0.6,0.010441321,0.0049447926,tp
8694,8696,2026-01-22 13:00:00,2026-01-22 15:00:00,short,trend_down,0.36282601952552795,0.8710876703262329,0.37719705093722894,2.7555759912886058,-0.002060604573187205,0.005685423000018419,0.6,0.008915162,0.004029097200000001,tp
8721,8725,2026-01-23 16:00:00,2026-01-23 20:00:00,long,trend_down,0.8823281526565552,0.0936666876077652,1.6984406095048636,0.1479863939703851,0.005832264538494141,-0.0102433448512525,0.6,-0.008273498,-0.0062840988,sl
8776,8778,2026-01-25 23:00:00,2026-01-26 01:00:00,long,trend_down,0.9403958916664124,0.031837090849876404,1.4402825202782334,0.0526111975915267,0.0065761180289105135,-0.011606912437295766,0.6,0.012177913,0.0059867478,tp
8911,8913,2026-01-31 14:00:00,2026-01-31 16:00:00,short,trend_down,0.5553015470504761,0.6664839386940002,0.6576364076836676,2.0106882905096097,0.0012630963150101118,0.005357791808024437,0.6,0.015234757,0.0078208542,tp
9009,9015,2026-02-04 16:00:00,2026-02-04 22:00:00,short,trend_down,0.6557968258857727,0.8563259243965149,0.734154464778567,2.818318930993281,0.0057450287618469684,0.01846764864309307,0.6,0.02367538,0.012885227999999999,tp
9032,9037,2026-02-05 15:00:00,2026-02-05 20:00:00,short,trend_down,0.612052321434021,0.7005926966667175,0.6823322519101791,2.035728164423873,0.007682316635568135,0.01852629558010186,0.6,0.03649241,0.020575446000000004,tp
9064,9072,2026-02-06 23:00:00,2026-02-07 07:00:00,short,trend_down,0.0027631944976747036,0.6962754726409912,0.002965085940055314,1.7510654910666323,-0.018081393316596934,0.01696833036799685,0.6,0.0342239,0.019214340000000003,tp
9127,9130,2026-02-09 14:00:00,2026-02-09 17:00:00,long,range,0.91872239112854,0.013808703050017357,1.7884956900204656,0.01769889743795708,0.016131346527213864,-0.015847774674290223,0.6,0.02120365,0.01140219,tp
9222,9224,2026-02-13 13:00:00,2026-02-13 15:00:00,long,trend_down,0.9205650687217712,0.0394221730530262,1.3762215025649533,0.06662188033350701,0.006866561419489022,-0.012078615424121022,0.6,0.01308818,0.006532907999999999,tp
9347,9359,2026-02-18 18:00:00,2026-02-19 06:00:00,short,trend_down,0.24756677448749542,0.7692340612411499,0.2479217126213293,1.9433114173899069,-0.004912148951933277,0.01000287617207739,0.6,-0.011284805,-0.008090883,sl
9367,9377,2026-02-19 14:00:00,2026-02-20 00:00:00,long,trend_down,0.8607869148254395,0.029721416532993317,1.2996157385479266,0.048079723922881366,0.006322864935098947,-0.012890920295159158,0.6,0.013842173,0.0069853037999999985,tp
9557,9569,2026-02-27 12:00:00,2026-02-28 00:00:00,short,range,0.4542349874973297,0.8249287605285645,0.6485580215083098,1.8130308023481065,-0.0007938289267962863,0.008817291422688032,0.6,-0.00021215614,-0.001447293684,expiry
9631,9632,2026-03-02 14:00:00,2026-03-02 15:00:00,long,range,0.7992333769798279,0.03424261882901192,2.004289753489296,0.04306917877669756,0.012076298462632338,-0.015279220766032334,0.6,0.02145557,0.011553342,tp
